dataset,scenario,error_rate,subset_source,task_type,model_type,target,detector_mode,benchmark_assisted_detection,raha_used,episodes,rf_estimators,rf_max_depth,rf_n_jobs,reward_eval_interval,eval_sample_ratio,ve_source,delete_policy,uniclean_scope,detector_expansion,max_detector_expansion,verifier_policy,verifier_selected,expanded_semantic_errors,seed,rows,dropped_rows,feature_count,categorical_feature_count,action_counts,repair_plan_size,uniclean_candidate_repairs,uniclean_cached,uniclean_cleaned_csv,repair_fallback_count,policy_override_count,runtime_seconds,downstream_before,downstream_after,downstream_delta,downstream_fixed_before,downstream_fixed_after,downstream_fixed_delta,downstream_fixed_train_rows_after,downstream_fixed_test_rows,cell_dirty_errors,cell_changed,repair_precision,repair_recall,repair_f1,run_dir,verifier_candidate_cleaned_csv,verifier_candidate_fixed_before,verifier_candidate_fixed_after,verifier_candidate_fixed_delta,verifier_candidate_repair_f1,max_detected_errors,base_cv_folds
hospitals,artificial,1.0,,classification,random_forest,HospitalOwner,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,candidate,352,42,990,10,18,17,"{'no_action': 1801, 'repair_value': 0, 'delete': 735, 'replace_nearby': 18}",0,668,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/1_hospital_1_cleaned_by_uniclean.csv,0,735,64.52373025,0.4927217881486994,0.4940767162359001,0.0013549280872007,1.0,1.0,0.0,693,297,332.0,278.0,0.9244604316546764,0.7740963855421686,0.8426229508196722,outputs/experiments_20260519_final/demandprep/artificial/1/hospitals/20260519-205455,,,,,,,
rayyan,artificial,1.0,,classification,random_forest,article_language,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,no_op_rollback,32,42,642,358,9,7,"{'no_action': 27, 'repair_value': 148, 'delete': 16, 'replace_nearby': 302}",148,307,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/4_rayyan_1_cleaned_by_uniclean.csv,0,16,62.812018083,0.1255555555555555,0.1255555555555555,0.0,0.1257381615598886,0.1257381615598886,0.0,449,193,72.0,0.0,0.0,0.0,0.0,outputs/experiments_20260519_final/demandprep/artificial/1/rayyan/20260519-212108,outputs/experiments_20260519_final/demandprep/artificial/1/rayyan/20260519-212108/candidate_cleaned.csv,0.1257381615598886,0.1255555555555555,-0.000182606004333,0.3010752688172043,,
tax,artificial,1.0,existing_tax_subset_10k,regression,ridge,rate,benchmark,True,False,3,10,,-1,1000,0.2,uniclean,uniclean_repair,row,none,1000.0,rollback_no_improve,candidate,0,42,9986,14,14,11,"{'no_action': 0, 'repair_value': 0, 'delete': 200, 'replace_nearby': 0}",0,5197,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/5_tax_1_cleaned_by_uniclean.csv,0,200,131.481787333,0.3778397131714975,0.3804395318208765,0.0025998186493789,0.3851738919517145,0.3853097112788542,0.0001358193271397,6990,2996,1106.0,223.0,0.4977578475336323,0.1003616636528029,0.1670428893905192,outputs/experiments_20260519_final/demandprep/artificial/1/tax/20260519-222429,,,,,,200.0,2.0
beers,artificial,125.0,,classification,random_forest,style,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,no_op_rollback,244,42,2406,4,8,5,"{'no_action': 0, 'repair_value': 665, 'delete': 0, 'replace_nearby': 648}",665,420,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/3_beers_125_cleaned_by_uniclean.csv,0,0,54.554786375,0.1577311284576145,0.1577311284576145,0.0,0.1821640216417067,0.1821640216417067,0.0,1633,701,4083.0,0.0,0.0,0.0,0.0,outputs/experiments_20260519_final/demandprep/artificial/125/beers/20260519-211112,outputs/experiments_20260519_final/demandprep/artificial/125/beers/20260519-211112/candidate_cleaned.csv,0.1821640216417067,0.1682677011356599,-0.0138963205060468,0.1026115091287266,,
flights,artificial,125.0,,classification,random_forest,arrival_delay_bucket,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,no_op_rollback,154,42,2230,146,6,6,"{'no_action': 6, 'repair_value': 132, 'delete': 16, 'replace_nearby': 0}",132,304,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/2_flights_125_cleaned_by_uniclean.csv,0,16,23.178030625,0.9953624531946348,0.9953624531946348,0.0,1.0,1.0,0.0,1561,669,154.0,0.0,0.0,0.0,0.0,outputs/experiments_20260519_final/demandprep/artificial/125/flights/20260519-210226,outputs/experiments_20260519_final/demandprep/artificial/125/flights/20260519-210226/candidate_cleaned.csv,1.0,0.7451759250061047,-0.2548240749938952,0.9934640522875816,,
hospitals,artificial,125.0,,classification,random_forest,HospitalOwner,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,no_op_rollback,521,42,988,12,18,17,"{'no_action': 2307, 'repair_value': 25, 'delete': 374, 'replace_nearby': 16}",25,938,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/1_hospital_125_cleaned_by_uniclean.csv,0,374,64.316345583,0.6013241660300483,0.6013241660300483,0.0,1.0,1.0,0.0,691,297,392.0,0.0,0.0,0.0,0.0,outputs/experiments_20260519_final/demandprep/artificial/125/hospitals/20260519-205602,outputs/experiments_20260519_final/demandprep/artificial/125/hospitals/20260519-205602/candidate_cleaned.csv,1.0,0.9963241653693132,-0.0036758346306867,0.6222826086956521,,
rayyan,artificial,125.0,,classification,random_forest,article_language,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,candidate,27,42,642,358,9,7,"{'no_action': 24, 'repair_value': 214, 'delete': 9, 'replace_nearby': 239}",214,298,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/4_rayyan_125_cleaned_by_uniclean.csv,0,9,64.40220391599999,0.1187072945521699,0.1187072945521699,0.0,0.1187072945521699,0.1187072945521699,0.0,449,193,77.0,12.0,0.6666666666666666,0.1038961038961039,0.1797752808988764,outputs/experiments_20260519_final/demandprep/artificial/125/rayyan/20260519-212213,,,,,,,
tax,artificial,125.0,existing_tax_subset_10k,regression,ridge,rate,benchmark,True,False,3,10,,-1,1000,0.2,uniclean,uniclean_repair,row,none,1000.0,rollback_no_improve,candidate,0,42,9986,14,14,11,"{'no_action': 0, 'repair_value': 0, 'delete': 200, 'replace_nearby': 0}",0,6564,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/5_tax_125_cleaned_by_uniclean.csv,0,200,151.34485750000002,0.3733939091957383,0.3742554364843606,0.0008615272886223,0.3788121261462965,0.3788140441891676,1.9180428710852127e-06,6990,2996,1273.0,237.0,0.4556962025316455,0.0848389630793401,0.143046357615894,outputs/experiments_20260519_final/demandprep/artificial/125/tax/20260519-222642,,,,,,200.0,2.0
beers,artificial,15.0,,classification,random_forest,style,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,no_op_rollback,308,42,2406,4,8,5,"{'no_action': 2, 'repair_value': 345, 'delete': 88, 'replace_nearby': 941}",345,539,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/3_beers_15_cleaned_by_uniclean.csv,0,88,114.23076975,0.1730752243577996,0.1730752243577996,0.0,0.1781407406013186,0.1781407406013186,0.0,1633,701,4145.0,0.0,0.0,0.0,0.0,outputs/experiments_20260519_final/demandprep/artificial/15/beers/20260519-211207,outputs/experiments_20260519_final/demandprep/artificial/15/beers/20260519-211207/candidate_cleaned.csv,0.1781407406013186,0.1656493133716924,-0.0124914272296262,0.1289018639119694,,
flights,artificial,15.0,,classification,random_forest,arrival_delay_bucket,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,no_op_rollback,207,42,2201,175,6,6,"{'no_action': 2, 'repair_value': 142, 'delete': 9, 'replace_nearby': 54}",142,405,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/2_flights_15_cleaned_by_uniclean.csv,0,9,25.899851917,0.9938621633379512,0.9938621633379512,0.0,1.0,1.0,0.0,1540,661,207.0,0.0,0.0,0.0,0.0,outputs/experiments_20260519_final/demandprep/artificial/15/flights/20260519-210251,outputs/experiments_20260519_final/demandprep/artificial/15/flights/20260519-210251/candidate_cleaned.csv,1.0,0.997489014438167,-0.002510985561833,0.9782082324455206,,
hospitals,artificial,15.0,,classification,random_forest,HospitalOwner,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,no_op_rollback,705,42,985,15,18,17,"{'no_action': 1302, 'repair_value': 496, 'delete': 14, 'replace_nearby': 1086}",496,1238,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/1_hospital_15_cleaned_by_uniclean.csv,0,14,76.695175334,0.466605542427547,0.466605542427547,0.0,0.7248807364106699,0.7248807364106699,0.0,689,296,486.0,0.0,0.0,0.0,0.0,outputs/experiments_20260519_final/demandprep/artificial/15/hospitals/20260519-205708,outputs/experiments_20260519_final/demandprep/artificial/15/hospitals/20260519-205708/candidate_cleaned.csv,0.7248807364106699,0.72316662560565,-0.0017141108050198,0.6568181818181817,,
rayyan,artificial,15.0,,classification,random_forest,article_language,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,candidate,35,42,642,358,9,7,"{'no_action': 45, 'repair_value': 140, 'delete': 9, 'replace_nearby': 308}",140,313,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/4_rayyan_15_cleaned_by_uniclean.csv,0,9,59.026384125,0.1188888888888888,0.127186387020182,0.0082974981312931,0.1188888888888888,0.127186387020182,0.0082974981312931,449,193,96.0,11.0,0.9090909090909092,0.1041666666666666,0.1869158878504673,outputs/experiments_20260519_final/demandprep/artificial/15/rayyan/20260519-212320,,,,,,,
tax,artificial,15.0,existing_tax_subset_10k,regression,ridge,rate,benchmark,True,False,3,10,,-1,1000,0.2,uniclean,uniclean_repair,row,none,1000.0,rollback_no_improve,candidate,0,42,9986,14,14,11,"{'no_action': 0, 'repair_value': 0, 'delete': 200, 'replace_nearby': 0}",0,7257,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/5_tax_15_cleaned_by_uniclean.csv,0,200,144.36763575,0.3679017349246811,0.3684420080627179,0.0005402731380367,0.377245553865823,0.3772629742447992,1.74203789762295e-05,6990,2996,1566.0,238.0,0.4915966386554621,0.0747126436781609,0.1297117516629711,outputs/experiments_20260519_final/demandprep/artificial/15/tax/20260519-222917,,,,,,200.0,2.0
beers,artificial,175.0,,classification,random_forest,style,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,candidate,341,42,2406,4,8,5,"{'no_action': 0, 'repair_value': 376, 'delete': 0, 'replace_nearby': 1037}",376,578,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/3_beers_175_cleaned_by_uniclean.csv,0,0,114.767872,0.1650069757271569,0.1787072693397111,0.0137002936125542,0.1649986491678301,0.1800051485111842,0.0150064993433541,1633,701,4190.0,341.0,0.9413489736070382,0.0766109785202864,0.141690576031781,outputs/experiments_20260519_final/demandprep/artificial/175/beers/20260519-211403,,,,,,,
flights,artificial,175.0,,classification,random_forest,arrival_delay_bucket,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,candidate,231,42,2177,199,6,6,"{'no_action': 47, 'repair_value': 77, 'delete': 1, 'replace_nearby': 106}",77,453,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/2_flights_175_cleaned_by_uniclean.csv,0,1,25.500780792,0.7449874264029371,0.7469375058325816,0.0019500794296444,1.0,1.0,0.0,1523,654,231.0,198.0,1.0,0.8571428571428571,0.923076923076923,outputs/experiments_20260519_final/demandprep/artificial/175/flights/20260519-210320,,,,,,,
hospitals,artificial,175.0,,classification,random_forest,HospitalOwner,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,candidate,674,42,983,17,18,17,"{'no_action': 2458, 'repair_value': 4, 'delete': 402, 'replace_nearby': 2}",4,1230,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/1_hospital_175_cleaned_by_uniclean.csv,0,402,64.951482625,0.610760368606715,0.614637789395071,0.0038774207883559,0.8881811748053786,1.0,0.1118188251946213,688,295,562.0,542.0,0.7214022140221402,0.6957295373665481,0.7083333333333334,outputs/experiments_20260519_final/demandprep/artificial/175/hospitals/20260519-205827,,,,,,,
rayyan,artificial,175.0,,classification,random_forest,article_language,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,candidate,32,42,642,358,9,7,"{'no_action': 5, 'repair_value': 125, 'delete': 0, 'replace_nearby': 367}",125,307,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/4_rayyan_175_cleaned_by_uniclean.csv,0,0,64.881895917,0.1255555555555555,0.1257381615598886,0.000182606004333,0.1253739612188365,0.1257381615598886,0.000364200341052,449,193,107.0,31.0,0.7419354838709677,0.2149532710280373,0.3333333333333333,outputs/experiments_20260519_final/demandprep/artificial/175/rayyan/20260519-212421,,,,,,,
